class,cleaned_text
1,128514128514128514128514128514128514128514128514128514128514128514vandalsavage teanna trump probably cleaner twitter hoes
1,128514128514128514128514128514128514128514128514128514128514dahomiefuzz gay niggas couldnt wait act like bitches tonight
1,128514128514128514theparadox ima steal cat n replace pitbull 128514128514128514128514 rt 80sbaby4life theparadox bitch
1,amp hes gone always hoe
1,son bitch took tic tacs like movie
1,wanna get money fuck model bitches russell simmons
1,2015seniorprobs probably wouldn8217t mind school much didn8217t deal bitch ass teachers retweet
1,a7xdemery im fucking fag said
1,arizzleindacut females think dating pussy cute stuff make pussy
2,addicted2guys simplyaddictedtoguys woof woof hot scally lad
1,adorebellaaa ya ever asked bitch bitches kanye voice yes
1,adorezoey u gone bring ur side bitch game know ya gf friends 128553128553128553128553 swear
2,allaboutmanfeet woof woof hot soles
2,allyhaaaaa lemmie eat oreo amp dishes one oreo lol
1,almightywayne jetsandaswisher gook bitch fuck u maybe youll get better
1,almightywayne fuck red malone man bitch ass niggah could please use complete sentences
2,arizonasfinest6 eggplant emoji doey say looked like scream lmao
1,autoworid hennessey venom gt 128584 thats one sexy bitch
1,bossbytchh seh pussy wetter shower curtainahmesehwetnessltlmao
1,brohen314 eaglesnation every eagles need see pic posted bitch said racist shit
1,bvsedchink yo fuck skateboarding yall wood pushing faggots man ball life amjemiebenn
2,babyanimalpics baby monkey bathtime awwwwe soooo adorable
1,baylaagottabody 128514128514128514128514 aint shit damn skippy lol
1,beeasyjrizzy u ever kill ant sidewalk think damn nigga way get pussyno bs must b gt30chance
1,beenbasedb kudabrazyy 0 rings 0 mvps 0 bitches lol
1,beenflynsolo ppl talk bad ghettohood kid growing nigga funnnnnnn
1,bestproadvice facts tattoostattoo hes pussy tattooing nipples
1,bill215 128175128175128175 rt nelayden bitches wanting act like niggas bad 128553128553128553 shit aint cuteeeee niggas act like bitches
1,bitchjones92 get worshiping bitch woof woof
1,blackchiquitita wow rt thatmanpalmer im lost buttcheek piercings yeah shes hoe
1,blacknerdjade ok sis shed rather broke bitch shrugs shell tell works
0,blackman38tide whalelookyhere howdydowdy11 queer gaywad
1,brokenpiecesmsc itsnotadam faggot read tweets dat k wasnt even funny lol
1,brosconfessions bitch ungrateful fr lulwhore
1,cashandboobies kidnapped yo bitch
0,cbbaby24 whitethunduh alsarabsss hes beaner smh tell hes mexican
1,ccobey aydanmccoy happy birthday nigs thanks yo
1,chlldhoodruiner ur teacher tells u u homework bitch need go
1,caelang15 22edham caelang15 nigga eating hoe lol hell yea lol john paul nigga said john paul
1,canifuckornah would yall lil ugly bald headed bitches stop making makeup amp weave
1,carelessone92 leafs better win damn game go riot shit earlychristmas better start looting nig
1,causewereguys going back school sucks dick hoes attend
1,causewereguys way fuck yo bitch 9 year old
1,celeynichole whitethunduh come never bring food dont car retard
1,chadmfverbeck richnow doesnt show hella tinder hoes im friend anymore chill brought like like 8 prople
1,chandlerparsons bout cowboys shutup pussy
1,clicquotsuave lmaooooooooooo nigga krillznuhcare ltbitch want likes depressing shitfoh
1,coleycee lilaerii girl know spitting g shit amp going lbvsbitch plz
1,coleycee let make couple tweets cuzzo page wont get twitter jaillmao bitch dont trick
1,comedyposts harlem shake excuse go full retard 30 seconds
1,comedytruth amen miley 128591 dont need act like hoe bc shes emotionally damaged foh
1,corybandz one loyal female wayyyyy better hoes idc 128175
1,crhedrys pussy licking pussy meow meow stopwhitepeople2014 128049 128533
1,dbabholloway check 12th man cowboysnation even faggot ny fans stands
1,dgotbricks happen vixen ent bitches got ran threw side like foothill bitch
1,daedavidavie whitethunduh im bitch okay nudes pat 128554128527128056 wow
0,devilgrimz vigxrarts youre fucking gay blacklisted hoe holding tehgodclan anyway
1,diamondloudkush fuck wrong bitches nobody knows
1,dietrich1892 yall shut upp make bitch
1,dionairish hate im pregnant type bitch
1,doyouq got bitches dm dont ever readem top 3
2,domworldpeace baseball season win yankees love started
1,dommoneek little stupid bitch dont fuck yoooooouuuu
1,dreadheadari really asked dead ass serious tho could say bitch wheet lol
2,dunderbail im early bird im night owl im wise worms
2,edgarpixar overdosing heavy drugs doesnt sound bad tonight pussy shit every day
2,elgrillo1 pit bulls photographed lovely fairy tale creatures fairy tale creatures
1,ferociousghost 1stnamebravo aw fag dont tweet aw lol
2,flokid88 long lakers trash could careless thats real cc benballer hahaha
1,frosstyy h0rheyd didnt say anything tho kiss faggot
2,funnypicsdepot play soccer cheat girls wear khaki coloured cargos haircut 128514 yup
1,g27status could go fat ass bitch lap
1,gedmelle 17 missed calls 128544128545das yo po bitch twitter finna screamn freemoneymelle
1,gtmal ya side bitch gotta know rules shitanybody ask cousin jersey thinkin bout moving lmmfao 128514128514128514128514
1,gagatom1 8220malefoot 3 amo los pies fuck yeah
1,girlthatsvonte hoes thinking meat wont slap ass 128564128075 ainna bruh
1,girlthatsvonte yall bitches wit edges talking 1285531285649995128514128514128514
1,girlthatsvonte yall still going trick treating year nahhell yeah ima da sweet tooth bandit steal bitches bags n shit
1,girllssues wanna sex mom fuck right pussy came damn got hacked like fuck
1,gizzyjones94 kiss u eyes open watch bitchlmfao
1,goofstroop woulda coulda shoulda ass hoe 128563128586
1,gottiltf happy bday bitch ass nigga jetsandaswisherpreciate bitch roll
1,hbmostdope 1jayee pipinhoes used send bitch
1,hbmostdope ugly bitches like im wcw duh bitch aint nobody elses128514128514
1,halotgmg 1stnamebravo nigga know hacky sack hoes nah throw look passes lmao
1,heartlessfuck glad im getting outta atlanta nothing bunch niggas amp outta jail amp dumb bitches mad kids fuckin em
2,hermosaalma isnt ghettoits smart im idc
1,hiimjorib would wife hoe cuz wouldnt care cheating force relationship first place
1,hornyfacts single isnt excuse hoe theonemissluu
1,hoskinsty96 white boy power bitch black power bitch
1,hudgens11 lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes chill
1,iscoutgirls verballyabrupt bitch u around world back
1,itsyahboiray anelylove dont get dick sucked yo party bad bitch im fr gone set 128514128514128514128514 anelylove
1,itsyesie oomf soooo cute probably hoes lot
1,jayten9 every cartoon alway nuffsaid15 saving hoes lmao lmao damn captain saveahoe
2,jreebo wants get nose bad bois scally chav sockfetish stinking hot sox legs
1,jamesynba wish bitch like brother keezy 128530 ooooow bet
1,jasminepore dressed cat halloween basic pussy
1,jewelxo pornhub get gaming stream feature dumb bitches gtfo pornhub get katielt3
1,joebudden stop scared choke sex u bitch ass niggas she8217ll like says guy hits women bed foh
1,johnny55perez whitethunduh ha well iguess make hoes loyal bro theyll never loyal hoes nig
1,kazatta 1takehov oh man 5 molly ho fuck ya seed fixed
1,kelsiebelsi youre man refer every girl bitch
1,keyshawnswag lmfao cat started beating shit nigga finally got pussy nigga
2,keyshawnswag peel peel bring back rewind back im move shaq line ooooow tf said trash
1,kingcuh 16stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
1,kinghendo95 vondreaam naw old tape new cover upcoming mixtape kingofthehill yeah im waiting hoe mayne
1,kingteej ol dirty foot ass bitches funny
1,kingshawn6 whitethunduh thats get yellow flags amazing 128079128524 hell yeah niggy
1,kissmysmilee dont got time bitches actin iffy
2,knightfanneal ucfpinkparty come stay alive knights nation still early bird special comeatmeut
1,kyranadiya hoes aint loyal aint smfh amp wonder nobody decent wants
1,lcistj bruh studs keep thinking im soft hell ask ya girl many times screamed bitch oh okay stfu bye hoe
1,lodycash dry pussy bitches always blame condom128514128079128514128079128514
1,lunaraps shut yo bitch ass 128557128514
1,laflaregodjosh gucci mane jail dropping mixtapes every month hoes cant even text back
1,latrobemark love hoes money wats wrong niggas
1,lebronvuitton loyal bitch burbs without daddy issues like finding holographic mewtwo sounding like lol
1,lilfridayhoe easy cum easy hoe thats fact
1,lifeasbros charlie sheen real major fucking respect charlie sheen
1,lightskingawdd wish bae 128533 got hoes tho
1,lilmike12 fuck twerking bitch cook
1,linniekravitz wesgodlaflare bitch wtf
1,lipethegreat 8220h0rheyd lipethegreat shut zoe fight pussy8221 zoe im good man good maam move along
1,lolaaisdope lmao fucking snake bitches em
1,loveableaizah big booty hoes everywhere sheesh 128525 damn 127807128064127807
2,mlbnetwork stay tuned mlbnetwork update report yankees 1b teixeiramark25 810 weeks dliming35 bum
2,mrad 8220dezdlt play soccer cheat girls wear khaki coloured cargos haircut yes lmfaosoccerboy04
1,madflyentist oregon chokes every year get field trash ass program rft
1,mannydiesel def cowboy lol rt artoffloyd terrell owens best eagle amp cowboy ever dude cried like bitch tv romo
0,markroundtreejr lmfaoooo hate black people theres black people niggers
1,master11 20tolife gabrielastarr could u bitch potent
2,maxmayo77 pissed lad past would lick dirty soles slept
2,maxmayo77 love frat boy w soft long soles
2,maxmayo77 sexy lad hot soles arches
1,megamindnick whitethunduh nah fam gotta cheat hoes depends female feel
2,meshanojas vontethekidd 128079128079128079128079128588 got hicks lol
1,migsmichelen new twitter confusing shit go back south america bitch
1,miikitox3 toto means ass vaginai think pussy cause toto santi like nasty pussy
1,mikelahenry actually choose ugly bitch 58381her ass must fat
1,mileycyrus bitch couldnt kill vibe ya tried 127752127752127752 dis love miley
1,montrell im tired bitches saying look mean 128530 nigga big af wear tight shirts grim everybody
2,motherjones 10 birds grandkids may never see thanks climate change climate
1,mvckfadden stay beautiful bitch
1,nickiminaj wutkinda r purple ceeeleeeman gurl jus playin stupid hoe track still shitted sum gurls
1,nastycopper money getting taller bitches getting blurry
1,newsomejade aint never seen bitch obsessed nigga128514 im obsessed mine 128529
1,nicholasted33 kobe stay talking trash lets forget jaustin12 meant one smh
0,nochillpaz least im nigger lmfao
1,nofakingg people always asking im mixed bad asian bitch lol
0,notoriousbm95 whiteponyjr ariza snake coward least isnt cripple like hero roach lmaoo
2,osayitaintso 8220ignorealllaws fosters home imaginary trash8221 whoa chill show everything tf
1,officialreplay lowkey tired tired quiet go sleep hoe
1,prayingforhead 8220macklemroe stop bringing weird niggers mentions prayingforhead8221
1,prettybossbrat dont love hoes 128080128581
1,patrickquelo yo girl cant homeboys ol weak bitch ass nigga
1,patsfanjoe32 dpalomino52 think worst advice gave dont pussy speed lol
1,poemsporn quote tweet favorite animalpussy
1,poeticsuccess hate strippers tell theyre dancers hoe ballet dancers dont pop pussy beethoven stripper
1,poffalicious andrewbryant poff double vision 2 beers poff double pussy 128526 smh
1,poobie bitches twerk computer ya 128089 ya damn 128089825265039
1,prodsjewel 8220sreadthepeace 8220yungmindless peacepunkprince prince art nobody takin bitch
2,quan1t0 61 welfaregovernment aid claimed white people yall black slander trash
1,quan1t0 bitches dont care play role
1,queenkaaat took find hiding lime tree iemonaids dis bitch da wrong tree bro
0,rtnba drakes new shoes released nikejordan yes theres glitter shoes dudes fag
2,rachiesoul dizzleofficial inna di ghetto alone lmaoo
2,ramboutit 8220master11 20tolife ramboutit hoes austin8221 teach us austini teach u get curved thats know
1,reachtheeclimax bitches cant cook know suck dick ones
1,renegademo fat hoes get chose lol
1,riahsm hoesaintloyal well theyre hoesno one expects loyal
1,rishaawilliams treshonscrooge nevertrustt ol bitch ass
1,rnadjorell bruh im tired niggas retweetin miley cyrus naked bitch aint types bad lmaooo
1,sactownprodigy tony romo mavs game dont mean still bitch lmao fuk cowgirls lol bitch fuck
1,samjlayman holy shit freddie highmore charlie chocolate factory rolls floor laughing
1,samirahusic dont want sex gf feel like im using anonymous whata faggot
1,sexualgxfs one followers 128525128553 somebody bitch dont
1,shaajenkins ya bitch always bitching clearly care annoying bitch
1,shantaughther catfish hoes thinkin slick niggas catching 128524
1,shewenttojordan cant worry bitch aint worried bout real
1,showarrive side hoes insecure niggas cant handle real one
1,shunstokes 128514128514128514128514rt bluprint4 lmao bitch come scooting tent like fuck shit 128557128557128557
1,shunstokes cousin said share hoes brothers said sharing caring love brothers 128514
1,slimgirlprobz im hungry ionn wanna spend money food128530broke hoe problems 128514128514128514128128
1,smeegbaby dese hoes lyin us nigga
1,snakecharmsdump oh yeah fuck bitch
2,sportscenter eli manning threw nflleading 27th interception season lmao trash
2,sportscenter usc senior rb anthony brown calls head coach steve sarkisian racist quits team 187 hes bitch
1,stellatex guess also zero time mansplaining adios stfu pussy
2,stephenwildboy chilling 1280698482 sexy scally lad
1,strap aint sharing bitch mines mines 128175
1,sukmysweetness money impress simple broke bitches
1,sylvieamx pisces never anybodys bitch dont let people control change rigghhht
2,teejonez 16stanleys kingcuh tuku ho idk blah blah blah 128514128514128514
2,teejonez kingcuh 16stanleys im mad cuh hahaha suure tuku ho ita 128514128514
1,tayknosbest hoes crazy
1,taylorrbabee aint ever gonna slice bitch kevin hart
1,thatniggatroy oomf fuckin fine tho 128553 dam dont bitch
1,thegamerkingkev wonder girl gave head 24 boys drink magaluf twitter probly sends nudes fags
1,thenewsat newsatquestions yeah bitch yeah bitch call maybe b steveo c later jesse pinkman machinegunkelly
1,thenymphotweets hickies thighs right pussy gtgtgt right
1,theonemissluu would still love im longer young beautiful ugly monkey ass
1,therealrickyb21 jetsandaswisher gook yall come frontbitch aint coming
1,therealrickyb21 jetsandaswisher faggot bitch
1,therealistsam madrid2 yea im ipad dont work friday lets ball faggot tropicalblanketi work 25
2,theo17100 scally lad would get
0,theomaxximus gerryshalloweenparty halloween yesterday stupid nigger
1,theomaxximus chrus still supahot tho walks teacher test drops test bitch fohead
1,thornton25 8220kantkeepahbytch love eating pussy lol never get full lol8221 eat shit forever lol ever
1,tmaccgfg 8220voiceofdstreetz tmaccgfg 8220tizzimarie slushes 1285498221hoes nasty anyway fam1285648221them hoes taste like meds127815127815127868
1,tmaccgfg 8220tizzimarie slushes 1285498221hoes nasty anyway fam128564
1,tmaccgfg bobby bitchby bobbyshmurdags9 getting live fuck hell yea play hoe workout
1,trelekidd yo bitch gucci mane rt jabarithegreat bitch stoner 128175128175
1,tweetgamelazy ride bitch handle bars
1,tyjoncuffee aint hoe get traphoussseeeee
2,uberfacts 15 sad tv character deaths still bitter stark man
1,unholyjack harbor bitches party bus hoes lol
1,vbomb20 woodchuck20 pussy love
1,veronikahumbert ultraviolence video coming little bitch mtvhottest lana del rey bitchy promo
1,vineforthebyrd way fuck bitch lmfao kittycopter
2,wbur smuggler explains helped fighters along jihadi highway
1,wbeezy quathegreat aww avis look cute together 128145 128128128128128128 gotta get ike avi bitch
1,wbeezy rundrc simple dont hoedont worry exposed 128540 fight mewhy
1,wannabekanye whys bitch boosting size isnt exactly healthy tho
1,withaprettyface 1nonlykeisha bet bitches 128514128080128299128299128298 128514128514 kim bye
1,xxpdotjdot damn near gotta protect tweets stalkers annoying got dope dick drive bitches loco
1,xojennygirl im making marack girlfriend marackaf aye b pullin hoes like taught
1,xoxoangiee bruno fag boy love
1,yehitsvon 8220rundrc must bitch8221 128514128514128514 sike naw always beefing 128514
2,yankees 61 yankees look rally bottom 9th rallycap
1,youngricooo 8220wexicanafro702 dont take advantage nice person8221 hoes everyjuan
1,youngricooo happy birthday bitch nigga wexicanafro702 thanks pal
1,youngricooo sad knowing hoes wont fuck bc aint got stacks wait till friday
1,yungmigo shanea1 cinco shit harder fucc niggayee fucc wit rich homie cuz dats ya homeboy fucc nicca
1,zoebarton3 h0rheyd ewww said last sundayas last sunday read nigs128563128563128563128563128563
1,badabing punch real niggas face cause pussy nigga gonna punch right back strong mush shake
1,beedontcare pussy still fresh lt something stank girls say
1,geewillikers ass slapping one greatest things haha 128527 slapped girl ass got mad aint get pussy week
1,tommycollins wearerichnow buffalobills yeah texans much better fucking retard see youre mad
1,malibubarbie nd wtf dark bitches blonde please several seats hoe looking like blackampmilds
1,sugga theres lane bitches need stay 128526 left n get right fuck outta face 128557128129128536
1,sneakyb hate boys deny bitches 128080128553 smh
1,taradise ya nigs still saying yall dont eat butt straight face
1,yourewelcome im boss ass bitch needs sit corner
1,iwantfranny hes hoe cant
1,prettyflvck0 paul thinkin bout gettin rentals da weekend 128665128168128168oooh shit bitches betta stay da streets
1,rapdreams bitches hold nigga get locked nigga go college military different story 128564
1,simplycaitlin friends hate ratchet hoe
1,adriwadrri love fuck niggas hoes
1,airmaxlad1 hot meat sexy fuck scally lad would love meet trainers
1,airmaxlad1 sniff perved scally lad fuck yeah
1,alejandrap13 bitches love sosa
1,alexissixela 8220whitethunduh legit watched 30 40 seconds 1285298221so wtf prob cause retarded smh
1,allisonnamaya name cat ideas mr pussy
1,altosteel115 woof woof sexy thug boy scally
1,ambitiousbree 1nonlykeisha u see damn phone ringing 128547128530128542 married bitches makes demands havent called
1,analicialouise tevin favorite sophomore think hes funny hes really lmaoo hes little hoe
1,angelenagoley 10 sex positions u call fucking soul outta bitch 128557
0,ashlingwilde itsnotadam bored supposed cute faggot sometimes
2,ayyeeceee one mans trash 128686 another mans treasure 127942
1,babineaux dont got type bad bitches thing like iongotnotype
0,bigbootybishopp whitethunduh lassen cc coach wants feel youll get nig doubt
1,bleedingtrap god teeth gold chain white bitches cocaine
1,cheetahbluntz hoe hoe128129 shhhhh
1,chieflottahoes dc call rollers chiraq call thots across america known hoe
1,claytonjenn99 im gonna miss bitch bus driverno wont dont lie
1,coltforty2gone hate bitches try put friendzone bitch im tryin score put endzone 128293128293128293 soul
2,complexuk ashley young tried deny bird landed mouth gt hahaha
1,datfullerkid trevaughnlg yall gimped aint tht bitch huh lol
2,deepthroatmike boyssouth take ride 128525128139 woof woof
1,demieggleton oh god love victoria mitchell bitches love
1,djsliime long distance shit wack knew bitch cheating uh oh
1,fiirting hes right 128525128120128158 bitches smh
1,fatboyswagg347 ban dat pussy life amp gotta pay 25 millon dollar fine
1,fuckcamoclark roses red violets blue niggers black know thats true dylan72892
2,g0rillaz0e sitting window sill window open bird tries fly smacked protecttheanimals peta
1,glowstruck nigga gon nigga nigga sound fuckin retarded
2,greggutfeld video entire media likely mock crybaby
1,gurlimangie itskiaraaaa westyourmajesty im even shy stfu kikis mom hi angelique angelique smiles dips cracker soup
1,haitiangold tim tebow got cut every team nfl already got hoes starkville smh 128514128514128514128514
1,hazelebaby karma bitch damn godprotectshisangels 128588 sips tea
1,hornyjhb fuckin hot gym pussy fuck yeah
2,hxhassan jihadi patron hajjaj alajmi arrested kuwait airport
1,iampickuplines call fireman cause turn hoes
1,icrawley could never bby lil dick thts got abortion last bitch oh god
1,idntwearcondoms watch women try argue like dick actually fucked pussy hate bitches
1,ilgdaily smoke weed public fuck cops man wanna dont run come retarded
2,itrapwatermelon tweety bird tho 128514128514128514128514
1,irlfatty pussy sweet like watermelon thotermelon
2,itscoleharmon twitter rappers dm trash links
1,jsadass loud bitches annoy
1,jacaxeltlu eventually every bitch turns hoe truuu
1,jaimescudi tonybthrz jaimescudi swear oomf try talking tomorrow barackobama pussy
1,jamajam bitches pretending tf crazy aint never lied
1,jasmyncyniquee whitethunduh k bye hoe um bye
0,jayswaggkillah jackies retard blondeproblems least make grilled cheese
1,jboii2 ima keep giving pussy ass niggas ah reason hate
2,jethromass photo sole heaven
0,jgabsss stacey dash 128166 baddest bitch evaaaa
1,juicyyyjayyyy side bitch sunday 128514128514128514 128514128514128514
1,keazy26 facts baldheaded bitch made shit 128074128074128555128530 lmao 128553128514
1,kayreneeee fuck wit us tweakin hoe shmurda
2,kazooook actin like 7th day wesgodlaflare 128123spook
1,kikistfu ill break lil bitch neck wont even feel sorry savage
1,leikant fucking hot scally sneakersex sockfetish sniff trainersex love kinky scallies
1,likemicah yall dumb ass niggas pressed hoes yall weak fuck fuck weed hoes oreos
1,lildurk turn yo bitch eaterrrrrrrrr
1,lildurk dont trust dese hoes nikki told 51st stay fans screen shot asap finna come chiraq shoot sumn
1,marackaf 8220whitethunduh aye yall ima tryout bowling team frfr8221 tryouts passed tho theres two retard
1,maybe6789 u got u want bitch enjoy crazy party would love attend
2,metroadlib colored contacts eyes blinders mine cause cant see lmao
1,michellewestt facts poonsoaker dudes hoes say dont got hoes8221 jaustin12
1,midywidey im rea start smacking bitches period bluffin best
1,molssyo lifes bitch die thats get high cause neva know youre gonna go sister perfect
1,molssyo one us drugs youre still wrong 128514 currieburry hahahahahahah im bitch sometimes
1,morgandaylee im feeling pretty fuckin ghetto smh
2,nohands24 20tolife nohands24 dejaaleeann bcoleman2 swears im 1 man easily easily behind austin nip
1,obeyjrock true ride die bitch 128175 fuck hahahahah
2,oldpicsarchive hgwells charlie chaplin history photography
1,ortizjaylene see brunos bitch ass twitter wtf brunos sees drake voice
1,ozziegarza whitethunduh im cool faggot chill tf cool nigga
1,ozziegarza whitethunduh im sure bitch frfr tf
1,poppunksucks twitter source news broadcast fucking retards nbc abc cnn fox etc keeping quiet
1,queendulaaa got couple bitches saying know i8217ma let money talk 128526128076 im like wwyd
1,realfortes grudges weirdosand bitches
2,rhythmixx told mariam cigarettes birthday also called trash rn
2,riananewman 22edham brownies tonight kind
1,rollyup23 text back dont give fuck ill text another bitch damn someone hurt lol
1,ronaldiongi ummmmmm okay got hoes left right 128514128514 yah thang
1,royalswagg using ymxb find slope ass
2,rugbysocklad fit lads nice gear scally lads n trainers would get
1,rugbysocklad hell yeah bro fuck yeah sexy scally lad hot gear
1,rugbysocklad helping mate love scally play fuck yeah
1,rugbysocklad lads lads fuck yeah love scally lad action hot trainers
1,savagetwotone next year bitches gonna like gotta promise wont expose 128514128514128557
1,scallynikelad 8220sleazytwinks hot rt opcinjen lick bitch fuck yeah eat trainer u dirty fucker
1,sierrabernia 8220t2gcincokilby yall think celebrity pussy different locals 1285148221 yeah meghan goods
2,sleepyyongguk saw ajumma walk beginning saying wow trash cant even listen 128514 lmaoo
1,sniffsockslad need sox fuck yeah love kinky scally lad w rank sox sneaks
1,snoleezey801 dont ever expose females like thats childish bitch nigga shiiii
1,socass 00sexilexi00 socass yasss trys new things bestfriend bitch love
2,socass dude remember wop video 00sexilexi00 omg find
1,soxandjox thick raw fuck damn man pussy getting workout
2,soxdawg rawr rt skinrubberboi sexy french scally love frenchscally sexy scally woof woof
1,splurgb nothin life free bitches need write ya panties128557128514
1,stephencdo currieburry one bitches want burrito u catch potosino huh haha
1,talibanshawtyy niggas whole hoes cuz couldnt said better128588
1,theaveragerocks hardcore way eat mac cheese 1 boil water 2 snort cheese powder 3 drink boiling water 4 fuck bitches
1,thebravebird yourenotmytype fade perpetually fresher thats real ass bitch rite
1,thejudyann annoying bitch love judyanns pretty
1,thotmouths lmao bitch got huggies
1,trestiffer hi bitch bitch bye bitch
1,trutherbot look like bitch elcapacitor
1,whoiscoreyking chase money 128176 128581 hoes 128111 12817512817558399583995839958399
1,whooligan cant stand dont know want ass nigga 128564 bitch
1,wiganzlad markycrumb gmailshorts im way love chavhot sexy scally fucker
1,witmyrudeass newly gay bitches dont kno shit works
1,witmyrudeass bitch dont want real job become strippers lol lol
1,wodaeeex3 awww meat meat feelinsi ainn n feelings bitch
1,wodaeeex3 want snake bites industrial piercin amp tattoodem hoe accessories dea 1280641280641280569749
2,worldtraveis baby albino 128034 meeeesh1395
1,worldwarzee hoes aint loyal
1,xoxoclauudia yassssss ordered chinese 128079 bitch ate tacos fat fuck
1,z0mbiedance made bitch lunch elizabethbatman bitches love lunch
1,brainer soon bitch gets rich political power views change political whores
1,pussy day keeps devil away doperthanyola
1,aint bitch mean
1,bitches want baby dont want children
1,bitch must lost 128514128514
1,baby like left side bitch cant cuz street side twitter said aint real
2,bae sounds like ghetto word use something else
1,batter wee cunt jewis cos fucked ex emma isnt battering girls ive nailedive moved onstop pussy n urself
1,bleed hoe alexa
1,boolin bando wit bitches
2,brownies brownie love movie 128517
1,need bad bitch thats hotter might realist shit partynextdoor ever said thats feelin everyday
1,way punch bitches
1,caesar home rt naewoodster 8220mjayskillz much bitch looks like lets start ape shit8221128557128557
2,chinese maverick communicating comrade u know giving imperialist yanks birdie
1,dad say hi snapchat dad 999665039999665039 duces bitch 128514128514128553128553
1,believe hoes fact loyal disagree believe fact loyalest bunchthese hoes
1,dont know ugly bitches dont know broke niggaskevingates
1,dont make make fall live nigga like meee birds 1amp2 favorite songs weeknd
0,dont worry nigga see worry nigga dont see dats da nigga fuckin yo bitch
1,dont ever give pussy away keep tight alright
1,dropped stack cause bitch im 1poloboy song called dope download mixtape
1,dumb bitches dumb things
1,eat pussy like real nigga hungry
1,eff lets go cripple
1,everything look better bitch next
1,facto shaunasayomi cares hoe ass looks like
1,every bad bitch nigga tired fucking
1,foreign chick lie man bitch beautiful
1,fresh nigga kno need clean bitch kno im working cuz wanna see team rich
1,fuck 50 make rules suck dragon balls bitch call goku
2,generate ascii boxes nodejs see ability bring flappybird node via ascii tubes bird
1,get shit bitch fine bear
1,get ass back detroit ya fuckin wigger
1,girls dated okay aint mad yo unless stabbed heart love hoe
1,know twitter password bitch please
1,seen shows seen hoes wasnt hot would thick
1,bitch hitting hoe 128514128514128514128514128514128514128514128514128514
1,married white woman lucky sumbitch uncle ruckus
1,wanna nigga im trinna savings account 128553 128514128557128514128557 omg imma funny ass bitch man thats real shit 128175
1,great grandmas hoeher grandmas hoeher moms hoe shes hoe long line hoes grandpa carl everyone
0,hey go look video man found kidnapped girls ohiowhat nigger shitmybosssays
1,hey pussy still
2,draft gungho folks send afghanistan war zones show
1,hotter bitch
1,u talking hoes bout bro n em talking hoes bout bro n em
1,crazy bitch hilarious
1,know shoes dirty fuck whatever bitch dont call like negro one first things look shoes dog
2,thrill billywith hillbilly heart billyraycyrus hahahahaha jesus murphy
1,call bitch makennam
1,cant handle liquor bitches cant handle meeedd chief sosa
1,dont chase dudes chase bitches edgar bautista
1,dont love hoes baby forever
1,dont even need picture tamar bitch beat every picture128514128557128514128514128514
1,dont hoes 128564
2,found new way chug open mouth alot shitallysays
1,fucking hate bitch much wanna smack face tongue kiss
1,got bitch set like jada picketqueen latifah riding round nieces bitch titi
1,got sister told stop calling women bitches
1,guess night bitches die stewie nigga
